Company Name,Location,Description,Batch,Company URL,Website,Founder Details
Branch8,"Kowloon, Hong Kong",Branch8 helps sellers to list and manage products on e-commerce…,S15,https://ycombinator.com/companies/branch8,http://branch8.com,"[{""name"":""Matt Li"",""role"":""Director "",""biography"":null,""twitter"":null,""linkedin"":""http://hk.linkedin.com/pub/matt-li/16/4b1/38b""},{""name"":""Matt Li"",""role"":""Director "",""biography"":null,""twitter"":null,""linkedin"":""http://hk.linkedin.com/pub/matt-li/16/4b1/38b""}]"
Heroic Labs,"London, England, United Kingdom","Social Infrastructure for Games; Makers of Nakama game server, Satori…",S15,https://ycombinator.com/companies/heroic-labs,http://heroiclabs.com,"[{""name"":""Chris Molozian"",""role"":""CEO"",""biography"":""Founder of @heroiclabs. A software engineer and tinkerer on distributed systems."",""twitter"":null,""linkedin"":""https://uk.linkedin.com/in/chrismolozian""},{""name"":""Mo Firouz"",""role"":""COO"",""biography"":""Colourblind. Founder. YC S15. Photographer."",""twitter"":null,""linkedin"":""http://uk.linkedin.com/in/mofirouz""},{""name"":""Andrei Mihu"",""role"":""CTO"",""biography"":""Founder of @heroiclabs. Scalable systems, high availability design, high-performance data processing and interoperability."",""twitter"":null,""linkedin"":""http://uk.linkedin.com/in/andreimihu""}]"
SnapMagic,"San Francisco, CA, USA",AI copilot for electronics design,S15,https://ycombinator.com/companies/snapmagic,https://www.snapmagic.com,"[{""name"":""Natasha Baker"",""role"":""CEO  "",""biography"":null,""twitter"":""https://twitter.com/natashaabaker?lang=en"",""linkedin"":""https://www.linkedin.com/in/natashaabaker""},{""name"":""Natasha Baker"",""role"":""CEO  "",""biography"":null,""twitter"":""https://twitter.com/natashaabaker?lang=en"",""linkedin"":""https://www.linkedin.com/in/natashaabaker""}]"
Scope AR,"San Francisco, CA, USA",Scope AR is the leading provider of User Guided Augmented Reality…,S15,https://ycombinator.com/companies/scope-ar,http://scopear.com,"[{""name"":""Scott Montgomerie"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""http://www.linkedin.com/in/scottmontgomerie/en""},{""name"":""Scott Montgomerie"",""role"":""Founder "",""biography"":null,""twitter"":null,""linkedin"":""http://www.linkedin.com/in/scottmontgomerie/en""}]"
Assembly,"Redwood City, CA, USA",Advanced manufacturing and distribution solutions (for China-based…,S15,https://ycombinator.com/companies/assembly,https://asm.co/,"[{""name"":""Jonathan Friedman"",""role"":""Founder/CEO"",""biography"":""Ph.D. in electrical engineering with a background in biomedical and industrial systems engineering. 2x YC Founder. Lives part time in China. Happy to help with supply chain, manufacturing, distribution, or design problems. If you move/sell physical products, I can probably find you more margin or more market share. Free consults for founders. Don't be afraid to ask. We'll learn new things together! Cheers."",""twitter"":null,""linkedin"":""https://linkedin.com/in/friedparts""}]"
Gemnote,"San Leandro, CA, USA","Gemnote is the easiest way to design, create and send custom products.",S15,https://ycombinator.com/companies/gemnote,http://gemnote.com,"[{""name"":""Ashley Wong"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/profile/view?id=48575772&trk=nav_responsive_tab_profile_pic""},{""name"":""Ashley Wong"",""role"":""CEO "",""biography"":null,""twitter"":null,""linkedin"":""https://www.linkedin.com/profile/view?id=48575772&trk=nav_responsive_tab_profile_pic""}]"
New Story,"Atlanta, GA, USA",We pioneer solutions to end the global housing crisis by empowering…,S15,https://ycombinator.com/companies/new-story,http://newstoryhomes.org,"[{""name"":""Brett Hagler"",""role"":""CEO"",""biography"":""Co-Founder and CEO at New Story."",""twitter"":""https://twitter.com/BrettHagler"",""linkedin"":""http://www.linkedin.com/in/rbhagler/""},{""name"":""Matthew Marshall"",""role"":""Matthew Marshall"",""biography"":""Co-founder and Chief Business Officer of New Story. \n\nNew Story pioneers solutions to end global homelessness through a market-driven approach and since starting 8 years ago we've raised over 50M+ and built 37 communities (100-150 homes per project) in Latin America. Our goal is to house 1M individuals by 2030 through sustainable and scalable affordable housing models by blending a mixture of philanthropy, impact investment, and technical expertise."",""twitter"":null,""linkedin"":""http://linkedin.com/in/jamesmatthewmarshall""}]"
Leaders In Tech (formerly InnerSpace),"San Francisco, CA, USA","Helping founders improve themselves, their companies, and the world.",S15,https://ycombinator.com/companies/leaders-in-tech,http://leadersintech.org,"[{""name"":""Joe Greenstein"",""role"":""Zookeeper's Assistant "",""biography"":null,""twitter"":null,""linkedin"":""http://linkedin.com/in/joegreenstein""},{""name"":""Joe Greenstein"",""role"":""Zookeeper's Assistant "",""biography"":null,""twitter"":null,""linkedin"":""http://linkedin.com/in/joegreenstein""}]"
teaBOT,"Toronto, ON, Canada",A robot that makes tea!,S15,https://ycombinator.com/companies/teabot,http://teaBOT.com,"[{""name"":""Rehman Merali"",""role"":""Rehman Merali"",""biography"":""PhD in Robotics. Passionate about helping in the developing world."",""twitter"":null,""linkedin"":""https://www.linkedin.com/in/rehmanmerali""}]"
Lugg,"San Francisco, CA, USA","Move anything, anytime, anywhere",S15,https://ycombinator.com/companies/lugg,http://lugg.com,"[{""name"":""Jordan Brown"",""role"":""CEO"",""biography"":""Founder/CEO of Lugg (s15)"",""twitter"":""https://twitter.com/jordanbrown"",""linkedin"":""https://www.linkedin.com/pub/jordan-brown/a1/628/b4b""},{""name"":""Eric Kreutzer"",""role"":""Eric Kreutzer"",""biography"":"""",""twitter"":null,""linkedin"":""https://www.linkedin.com/in/eric-kreutzer""}]"
